price,location,mileage,transmission,drivetrain,fuel type,major options,brand,color,no_of_features,engine-hp,engine-l,engine-type,age
46999,Surrey,107598,Automatic,Four-Wheel Drive,Biodiesel,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Parking Sensors, Heated Seats, Android Auto, CarPlay",RAM,Other,11.0,240.0,3.0,V6,4
26988,Victoria,59378,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Leather Seats",Lexus,Gray,2.0,204.0,2.5,V6,7
35900,Richmond,34000,Automatic,All-Wheel Drive,Gasoline,Backup Camera,RAM,Blue,1.0,395.0,5.7,V8,5
4250,Burnaby,289000,Automatic,Front-Wheel Drive,Gasoline,"Bluetooth, Leather Seats",Mazda,Gray,2.0,157.0,2.5,I4,10
72999,Richmond,8572,Automatic,Four-Wheel Drive,Gasoline,"Sport Package, Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Blind Spot Monitoring, Parking Sensors, Heated Seats, Android Auto, Quick Order Package, CarPlay, Appearance Package, Bluetooth, Backup Camera, Remote Start",RAM,Blue,15.0,395.0,5.7,V8,1
7900,Port Coquitlam,203875,Automatic,Front-Wheel Drive,Gasoline,"Bluetooth, Sunroof/Moonroof, Alloy Wheels",Honda,White,3.0,140.0,1.8,I4,12
35995,Victoria,17913,Automatic,Front-Wheel Drive,Gasoline,"Heated Seats, Sunroof/Moonroof",Lexus,Silver,2.0,169.0,2.0,I4,3
35998,Chilliwack,103633,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Alloy Wheels, Quick Order Package",RAM,Black,4.0,395.0,5.7,V8,3
29995,Surrey,19916,Automatic,Front-Wheel Drive,Gasoline,Bluetooth,Ford,Blue,1.0,272.65777777777777,2.5,I4,5
38800,New Westminster,3998,Automatic,Front-Wheel Drive,Flex Fuel Vehicle,Steel Wheels,GMC,White,1.0,272.65777777777777,4.3,V6,5
33999,Richmond,80573,Automatic,All-Wheel Drive,Gasoline,,Toyota,Silver,-1.0,295.0,3.5,V6,5
7999,Surrey,233730,Automatic,Front-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Alloy Wheels",Kia,Blue,3.0,147.0,2.0,I4,5
125500,North Vancouver,2896,Automatic,Rear-Wheel Drive,Gasoline,"Leather Seats, Navigation System, Adaptive Cruise Control, Preferred Package, Adaptive Suspension, Premium Wheels, Blind Spot Monitoring, Parking Sensors, Heated Seats, Android Auto, CarPlay, Multi Zone Climate Control, Bluetooth, Backup Camera",Lexus,White,14.0,471.0,5.0,V8,1
40888,Vancouver,47180,Automatic,All-Wheel Drive,Gasoline,"Backup Camera, Alloy Wheels, Third Row Seating",Honda,White,3.0,280.0,3.5,V6,2
47900,North Vancouver,20676,Automatic,Four-Wheel Drive,Gasoline,,Ford,Black,-1.0,272.65777777777777,3.2029230769230743,I4,2
7900,Port Coquitlam,57751,Manual,Front-Wheel Drive,Gasoline,Bluetooth,Chevrolet,Gray,1.0,138.0,1.8,I4,9
33300,North Vancouver,86994,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Quick Order Package",Dodge,White,2.0,295.0,3.6,V6,5
21595,Langley,118359,Manual,Front-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Sunroof/Moonroof, Navigation System, Heated Seats, Alloy Wheels",Honda,Black,6.0,205.0,1.5,I4,4
30999,Chilliwack,20718,Manual,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats",Nissan,White,10.0,170.0,2.5,I4,4
22846,Mission,106443,Automatic,Front-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Bluetooth, Backup Camera, Remote Start, Heated Seats, Premium Sound Package, Sound Package",Honda,Black,9.0,185.0,2.4,I4,5
59485,Langley,6742,Automatic,Four-Wheel Drive,Gasoline,,Jeep,Black,-1.0,295.0,3.6,V6,1
25983,Surrey,97288,Automatic,Rear-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Navigation System, Quick Order Package",Dodge,White,4.0,305.0,3.6,V6,6
9995,Victoria,109890,Automatic,Front-Wheel Drive,Gasoline,Alloy Wheels,Ford,Black,1.0,263.0,3.5,V6,12
49988,Burnaby,5208,Automatic,Four-Wheel Drive,Gasoline,"Heated Seats, Backup Camera, Parking Sensors",RAM,Gray,3.0,272.65777777777777,3.2029230769230743,I4,1
28888,Duncan,81990,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Alloy Wheels, Quick Order Package",RAM,White,3.0,395.0,5.7,V8,7
19991,Vancouver,70018,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Leather Seats, Backup Camera, Heated Seats, Alloy Wheels",Ford,Black,5.0,305.0,3.7,V6,9
56800,Richmond,5000,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay",Lexus,Gray,10.0,295.0,3.5,V6,1
18888,Coquitlam,65456,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Heated Seats, Android Auto, Alloy Wheels, CarPlay",Volkswagen,White,6.0,174.0,2.0,I4,4
59995,Maple Ridge,5135,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Alloy Wheels, Quick Order Package",Jeep,Other,4.0,270.0,2.0,I4,1
9998,Surrey,252000,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Heated Seats, Alloy Wheels",Lincoln,Blue,5.0,300.0,5.4,V8,15
45900,North Vancouver,16634,Automatic,All-Wheel Drive,Gasoline,,Lexus,Silver,-1.0,235.0,2.0,I4,2
11500,Abbotsford,251000,Automatic,Rear-Wheel Drive,Flex Fuel Vehicle,,GMC,White,-1.0,280.0,4.8,V8,11
49997,Richmond,52133,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Technology Package, Third Row Seating, Bluetooth, Backup Camera, Blind Spot Monitoring, Remote Start, Heated Seats",INFINITI,Other,12.0,400.0,5.6,V8,5
67890,Victoria,24010,Automatic,Four-Wheel Drive,Gasoline,"Customer Preferred Package, Alloy Wheels, Preferred Package, Bluetooth, Backup Camera, Heated Seats, Android Auto, Quick Order Package, CarPlay",RAM,Black,9.0,395.0,5.7,V8,1
79990,Vancouver,39948,Automatic,Four-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Parking Sensors, Heated Seats",Jeep,White,11.0,475.0,6.4,V8,2
46999,Langley,50543,Automatic,Four-Wheel Drive,Gasoline,"Backup Camera, Remote Start",Ford,White,2.0,375.0,3.5,V6,2
48493,Richmond,4260,Automatic,All-Wheel Drive,Gasoline,Cargo Package,Nissan,White,1.0,260.0,3.5,V6,1
21888,Victoria,137864,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Parking Sensors, Heated Seats, Android Auto, CarPlay",Ford,Silver,10.0,179.0,1.5,I4,4
29997,Richmond,72874,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats",Volkswagen,Other,8.0,292.0,2.0,I4,6
39999,Surrey,87642,Automatic,Four-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Heated Seats",RAM,Other,8.0,395.0,5.7,V8,3
18888,Vancouver,84121,Manual,Front-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, Alloy Wheels",Nissan,Black,6.0,272.65777777777777,1.6,I4,4
39900,Richmond,93000,Automatic,Rear-Wheel Drive,Gasoline,"Backup Camera, Multi Zone Climate Control",BMW,Black,2.0,552.0,4.4,V8,9
31500,Nanaimo,35884,Automatic,Four-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Heated Seats, Quick Order Package",Jeep,Other,9.0,180.0,2.4,I4,4
31850,North Vancouver,6166,Automatic,Front-Wheel Drive,Gasoline,"Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay",Nissan,Black,7.0,181.0,2.5,I4,1
64995,Surrey,4636,Automatic,Four-Wheel Drive,Gasoline,"Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Parking Sensors, Tow Package, Quick Order Package",Jeep,Black,9.0,285.0,3.6,V6,1
36888,Coquitlam,65287,Automatic,Four-Wheel Drive,Flex Fuel Vehicle,"Sunroof/Moonroof, Navigation System, Suspension Package, Alloy Wheels, Parking Sensors, Premium Package, Heated Seats",GMC,White,7.0,320.0,5.3,V8,8
16900,North Vancouver,133334,Automatic,Front-Wheel Drive,Hybrid,,Lexus,Black,-1.0,134.0,1.8,I4,9
28995,Vancouver,68440,Automatic,Rear-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Memory Package, Backup Camera, Remote Start, Parking Sensors, Heated Seats, CarPlay",Cadillac,Red,11.0,272.0,2.0,I4,6
12900,Richmond,125000,Automatic,Front-Wheel Drive,Gasoline,"Bluetooth, Heated Seats, Sunroof/Moonroof",Volvo,Other,3.0,227.0,2.5,I5,10
49980,Vancouver,74912,Automatic,Rear-Wheel Drive,Gasoline,"Bluetooth, Backup Camera",Ford,White,2.0,275.0,3.7,V6,4
14900,Vancouver,78200,Manual,Front-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Sunroof/Moonroof, Heated Seats, Alloy Wheels",Honda,Blue,5.0,143.0,1.8,I4,7
63999,Surrey,85317,Automatic,Four-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Parking Sensors, Heated Seats",RAM,Other,11.0,395.0,5.7,V8,2
41500,Richmond,5111,Automatic,Front-Wheel Drive,Gasoline,,Toyota,White,-1.0,206.0,2.5,I4,2
37995,North Vancouver,25320,Manual,Front-Wheel Drive,Hybrid,"Sunroof/Moonroof, Remote Start, Android Auto, CarPlay",Honda,Black,4.0,212.0,2.0,I4,3
53888,Coquitlam,13276,Automatic,Rear-Wheel Drive,Gasoline,"Backup Camera, Parking Sensors, Navigation System, Heated Seats",Ford,Black,4.0,480.0,5.0,V8,2
30999,Surrey,61819,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Third Row Seating, Bluetooth, Backup Camera, Heated Seats",Toyota,Other,8.0,270.0,3.5,V6,8
28900,Vancouver,6466,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Android Auto, CarPlay",Hyundai,Blue,4.0,175.0,1.6,I4,2
45900,Langley,20481,Automatic,All-Wheel Drive,Gasoline,,Hyundai,Black,-1.0,291.0,3.8,V6,2
285885,Langley,16043,Automatic,Rear-Wheel Drive,Gasoline,,Porsche,Other,-1.0,520.0,4.0,I4,3
69500,Richmond,49707,Automatic,All-Wheel Drive,Gasoline,"Sport Package, Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Adaptive Suspension, Blind Spot Monitoring, Sport Chrono Package, Premium Plus Package, Parking Sensors, Premium Package, Heated Seats, Multi Zone Climate Control, Bluetooth, Backup Camera",Porsche,Gray,15.0,440.0,4.8,V8,8
44994,Surrey,15000,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Premium Package",Mercedes-Benz,White,2.0,255.0,2.0,I4,2
50900,Richmond,36619,Automatic,Rear-Wheel Drive,Electric,,Tesla,White,-1.0,272.65777777777777,3.2029230769230743,I4,3
19990,New Westminster,102500,Automatic,Front-Wheel Drive,Gasoline,"Navigation System, Bluetooth, Backup Camera",Toyota,Silver,3.0,266.0,3.5,V6,8
37488,Langley,124211,Automatic,Four-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Power Package, Navigation System, Alloy Wheels, Blind Spot Monitoring, Heat Package, Parking Sensors, Heated Seats, Tow Package, Premium Sound Package, Android Auto, CarPlay, Multi Zone Climate Control, Bluetooth, Backup Camera, Remote Start, Off Road Package, Sound Package, Convenience Package",RAM,Blue,20.0,395.0,5.7,V8,5
17995,Surrey,41429,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Heated Seats",Lincoln,Gray,7.0,272.65777777777777,3.5,V6,9
66900,Langley City,654,Manual,Four-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Tow Package, Android Auto, Quick Order Package, CarPlay",Jeep,Silver,11.0,285.0,3.6,V6,1
44999,Surrey,29675,Automatic,Four-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Parking Sensors, Heated Seats, Android Auto, CarPlay",RAM,Other,10.0,395.0,5.7,V8,2
31998,Chilliwack,80530,Manual,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Bluetooth, Backup Camera, Remote Start, Heated Seats, Android Auto, CarPlay",Honda,Gray,7.0,190.0,1.5,I4,3
46888,Port Moody,53425,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Sunroof/Moonroof",Toyota,Black,3.0,381.0,5.7,V8,4
53000,Maple Ridge,43286,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Third Row Seating, Bluetooth, Backup Camera, Remote Start, Heated Seats, Quick Order Package, Multi Zone Climate Control",Dodge,Silver,11.0,360.0,5.7,V8,2
38499,Richmond,141066,Automatic,All-Wheel Drive,Gasoline,,Toyota,Silver,-1.0,270.0,4.0,V6,6
43509,Victoria,1036,Automatic,All-Wheel Drive,Gasoline,"SE Package, Cargo Package",INFINITI,Gray,2.0,300.0,3.0,V6,1
26490,Vancouver,67400,Automatic,Rear-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Heated Seats",Chrysler,White,7.0,300.0,3.6,V6,6
59995,Surrey,9813,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats",Jaguar,Black,8.0,296.0,2.0,I4,2
23888,Coquitlam,160501,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Sunroof/Moonroof, Heated Seats, Alloy Wheels, Third Row Seating",Dodge,Blue,6.0,290.0,3.6,V6,7
52900,Victoria,81538,Automatic,All-Wheel Drive,Gasoline,,Land,Gray,-1.0,340.0,3.0,V6,5
25490,Victoria,430,Manual,Front-Wheel Drive,Gasoline,,Honda,White,-1.0,158.0,2.0,I4,0
65777,Surrey,13800,Automatic,Four-Wheel Drive,Gasoline,Navigation System,RAM,White,1.0,395.0,5.7,V8,3
9998,Victoria,228301,Automatic,Four-Wheel Drive,Gasoline,"Navigation System, Heated Seats, Tow Package",Land,Gray,3.0,300.0,4.4,V8,15
7900,Port Coquitlam,162034,Automatic,Front-Wheel Drive,Flex Fuel Vehicle,"Bluetooth, Leather Seats, Sunroof/Moonroof, Alloy Wheels",GMC,Gray,4.0,182.0,2.4,I4,10
50990,Vancouver,6509,Manual,Rear-Wheel Drive,Gasoline,"Leather Seats, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Parking Sensors, Heated Seats, Android Auto, CarPlay",Chevrolet,White,10.0,455.0,6.2,V8,4
20896,Coquitlam,53305,Automatic,Front-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Sunroof/Moonroof, Navigation System",Acura,Gray,4.0,201.0,2.4,I4,5
232995,Vancouver,27600,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Navigation System, Alloy Wheels",Porsche,Black,4.0,580.0,3.8,I4,3
39995,Nanaimo,172464,Automatic,All-Wheel Drive,Gasoline,"Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Trailer Package, Blind Spot Monitoring, Off Road Package, Heated Seats, Tow Package",Toyota,Red,10.0,381.0,5.7,V8,4
33990,Victoria,3311,Manual,Front-Wheel Drive,Gasoline,,Honda,Gray,-1.0,192.0,1.5,I4,1
47998,Chilliwack,48175,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Alloy Wheels",Chevrolet,Black,3.0,355.0,5.3,V8,2
45990,North Vancouver,38282,Automatic,All-Wheel Drive,Gasoline,,Lexus,Gray,-1.0,295.0,3.5,V6,5
13988,Maple Ridge,26706,Manual,Front-Wheel Drive,Gasoline,"Steel Wheels, Bluetooth",Nissan,Black,2.0,109.0,1.6,I4,6
23500,Richmond,46053,Automatic,Four-Wheel Drive,Gasoline,,Jeep,Other,-1.0,272.65777777777777,3.2029230769230743,I4,7
96777,Langley,12301,Automatic,All-Wheel Drive,Gasoline,"Navigation System, Alloy Wheels, Third Row Seating, Bluetooth, Backup Camera, Blind Spot Monitoring, Android Auto, CarPlay",Land,White,8.0,395.0,3.0,I6,2
78000,Richmond,38609,Automatic,All-Wheel Drive,Gasoline,,Porsche,Gray,-1.0,340.0,3.0,V6,3
13800,Surrey,18352,Automatic,Front-Wheel Drive,Gasoline,,Nissan,Gray,-1.0,109.0,1.6,I4,7
29885,Langley,113230,Automatic,All-Wheel Drive,Gasoline,,Lexus,White,-1.0,235.0,2.0,I4,7
7490,Richmond,171000,Automatic,All-Wheel Drive,Gasoline,"Heated Seats, Sunroof/Moonroof",Volvo,Gray,2.0,227.0,2.5,I5,14
4450,Langley City,231000,Manual,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Alloy Wheels",Nissan,Silver,2.0,245.0,3.5,V6,16
35495,Abbotsford,17130,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Blind Spot Monitoring, Navigation System, Heated Seats, CarPlay",Kia,White,6.0,290.0,3.3,V6,2
35920,Surrey,32167,Automatic,All-Wheel Drive,Flex Fuel Vehicle,,Ford,White,-1.0,272.65777777777777,3.3,V6,4
7995,Maple Ridge,168000,Automatic,Front-Wheel Drive,Gasoline,"Bluetooth, Heated Seats",Chevrolet,Black,2.0,197.0,2.5,I4,9
57485,Langley,46035,Automatic,All-Wheel Drive,Gasoline,,Cadillac,Black,-1.0,404.0,3.0,V6,4
18985,Chilliwack,224000,Automatic,All-Wheel Drive,Flex Fuel Vehicle,"Navigation System, Bluetooth",Chevrolet,Silver,2.0,272.65777777777777,5.3,V8,8
35995,Victoria,42959,Automatic,All-Wheel Drive,Gasoline,"Sport Package, Backup Camera, Executive Package, Premium Package",BMW,Gray,4.0,240.0,2.0,I4,6
22990,Surrey,95472,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, Premium Sound Package, Sound Package",Nissan,White,11.0,260.0,3.5,V6,7
52777,Nanaimo,60075,Automatic,Four-Wheel Drive,Gasoline,"Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Parking Sensors, Heated Seats, Tow Package, Quick Order Package",Jeep,Black,10.0,285.0,3.6,V6,2
34795,North Vancouver,130000,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Alloy Wheels",Toyota,Green,2.0,260.0,4.0,V6,11
76900,North Vancouver,38682,Automatic,Rear-Wheel Drive,Gasoline,"Leather Seats, Driver Assistance Package, Executive Package, Navigation System, Alloy Wheels, Adaptive Suspension, Blind Spot Monitoring, Heat Package, Parking Sensors, Premium Package, Heated Seats, CarPlay, Multi Zone Climate Control, Bluetooth, Memory Package, Backup Camera",BMW,Black,16.0,425.0,3.0,I6,4
42999,Richmond,46204,Automatic,All-Wheel Drive,Gasoline,Navigation System,Lexus,Blue,1.0,295.0,3.5,V6,4
26599,Richmond,60373,Automatic,All-Wheel Drive,Gasoline,"Sport Package, Bluetooth, Heated Seats, Alloy Wheels",Mercedes-Benz,Other,4.0,241.0,2.0,I4,6
52990,Vancouver,11619,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Parking Sensors, Heated Seats, Quick Order Package",Jeep,White,11.0,295.0,3.6,V6,1
41887,Victoria,40048,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Tow Package, Alloy Wheels",RAM,Black,4.0,395.0,5.7,V8,3
69890,Maple Ridge,12499,Automatic,Four-Wheel Drive,Gasoline,"SE Package, Alloy Wheels, Bluetooth, Backup Camera, Heated Seats, Android Auto, Quick Order Package, CarPlay",RAM,White,8.0,395.0,5.7,V8,1
15798,Richmond,107957,Automatic,Front-Wheel Drive,Flex Fuel Vehicle,"Bluetooth, Backup Camera, Navigation System, Alloy Wheels, Multi Zone Climate Control",Dodge,Red,5.0,283.0,3.6,V6,7
57997,Surrey,94320,Automatic,Four-Wheel Drive,Gasoline,"Leather Seats, Navigation System, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Parking Sensors, Android Auto, CarPlay",RAM,Other,9.0,395.0,5.7,V8,3
66900,North Vancouver,6984,Automatic,All-Wheel Drive,Gasoline,,Ford,Red,-1.0,272.65777777777777,3.2029230769230743,I4,1
23990,New Westminster,111000,Automatic,All-Wheel Drive,Flex Fuel Vehicle,Bluetooth,RAM,White,1.0,305.0,3.6,V6,6
48995,Richmond,42000,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Parking Sensors, Premium Package, Heated Seats",Mercedes-Benz,White,9.0,362.0,3.0,V6,4
30888,Coquitlam,4387,Automatic,Front-Wheel Drive,Gasoline,"Backup Camera, Alloy Wheels",Jeep,Black,2.0,180.0,2.4,I4,2
139995,Victoria,34713,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Blind Spot Monitoring",Mercedes-Benz,Gray,2.0,563.0,5.5,V8,6
29290,Surrey,45315,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Power Package, Navigation System, Adaptive Cruise Control, Alloy Wheels, Blind Spot Monitoring, Parking Sensors, Heated Seats, Tow Package, Android Auto, CarPlay, Backup Camera, Remote Start",Ford,Gray,14.0,245.0,2.0,I4,4
109850,Langley City,393,Automatic,Four-Wheel Drive,Gasoline,"Sunroof/Moonroof, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Parking Sensors, Heated Seats, Android Auto, CarPlay, Multi Zone Climate Control",RAM,Gray,10.0,272.65777777777777,3.2029230769230743,I4,1
56995,Vancouver,10500,Automatic,All-Wheel Drive,Gasoline,"Sport Package, Sunroof/Moonroof, Navigation System, Alloy Wheels, Technology Package, Blind Spot Monitoring, Premium Plus Package, Parking Sensors, Premium Package, Heated Seats, Android Auto, CarPlay, Bluetooth, Backup Camera, Remote Start",Mercedes-Benz,White,15.0,255.0,2.0,I4,2
21995,North Vancouver,16500,Manual,Front-Wheel Drive,Gasoline,"Adaptive Cruise Control, Heated Seats",Honda,Red,2.0,158.0,2.0,I4,3
24500,Richmond,39428,Manual,Front-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Heated Seats, LS Package, Alloy Wheels",MINI,Red,5.0,189.0,2.0,I4,4
49987,Richmond,23529,Automatic,Four-Wheel Drive,Gasoline,"Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Parking Sensors, Heated Seats, Android Auto, Quick Order Package, CarPlay",RAM,Black,10.0,395.0,5.7,V8,1
75070,Surrey,1500,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Third Row Seating, Bluetooth, Backup Camera, Blind Spot Monitoring, Remote Start, Heated Seats, Cold Weather Package",Volvo,White,12.0,316.0,2.0,I4,1
28980,Burnaby,1037,Automatic,Front-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Sunroof/Moonroof, Remote Start, Heated Seats, CarPlay",Honda,Blue,6.0,180.0,1.5,I4,0
156995,Vancouver,18600,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Navigation System, Alloy Wheels",Porsche,White,4.0,420.0,3.0,I4,3
27800,Surrey,26046,Manual,All-Wheel Drive,Gasoline,"Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay",Nissan,Gray,8.0,170.0,2.5,I4,4
19888,Richmond,50490,Manual,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Sunroof/Moonroof, Blind Spot Monitoring, Heated Seats, Alloy Wheels",Kia,Gray,6.0,147.0,2.0,I4,3
43000,Richmond,44599,Automatic,All-Wheel Drive,Gasoline,"Sport Package, Driver Assistance Package, Blind Spot Monitoring, Navigation System, Premium Package, M Sport Package",BMW,Gray,6.0,248.0,2.0,I4,4
48980,Surrey,60778,Automatic,All-Wheel Drive,Gasoline,,Land,Gray,-1.0,340.0,3.0,V6,5
30500,Vancouver,3205,Automatic,All-Wheel Drive,Gasoline,,MINI,Red,-1.0,134.0,1.5,I3,1
5900,Langley,160985,Automatic,All-Wheel Drive,Gasoline,,Acura,Black,-1.0,265.0,3.5,V6,18
41690,Surrey,79866,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Blind Spot Monitoring, Parking Sensors, Adaptive Cruise Control",Toyota,White,5.0,295.0,3.5,V6,4
49888,Coquitlam,10907,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Tow Package, Alloy Wheels",GMC,Black,4.0,355.0,5.3,V8,2
36995,Abbotsford,59805,Automatic,Rear-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Blind Spot Monitoring, Navigation System, Heated Seats, Alloy Wheels",Chevrolet,Black,6.0,455.0,6.2,V8,6
33498,Surrey,41754,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay",Jeep,Other,10.0,271.0,3.2,V6,3
10950,Burnaby,299620,Automatic,Front-Wheel Drive,Flex Fuel Vehicle,,GMC,White,-1.0,302.0,4.8,V8,9
30950,Vancouver,33990,Automatic,All-Wheel Drive,Gasoline,,Subaru,Gray,-1.0,182.0,2.5,I4,3
26990,Victoria,5857,Manual,Front-Wheel Drive,Gasoline,,Honda,Silver,-1.0,180.0,1.5,I4,0
32500,Vancouver,36888,Automatic,All-Wheel Drive,Gasoline,,BMW,White,-1.0,248.0,2.0,I4,4
31989,Richmond,44487,Automatic,All-Wheel Drive,Gasoline,,BMW,White,-1.0,248.0,2.0,I4,4
28990,Victoria,78000,Automatic,Four-Wheel Drive,Gasoline,,Nissan,White,-1.0,261.0,4.0,V6,5
